msname,msinstanceid,nodeid,instance_cpu_usage,instance_memory_usage,timestamp
e969a0c7f24365fb761f28067720558309317afce8630dfbc12a2f8644dee2b6,2d64adf48bfaa8e81b72c6ec8e691a90d72237c944c4de775000e35e2d6523d4,85ad19cedb18370e11dd3f2f5ecde656b171464734e31b1de74af98a2bc30f87,0.1549999999968956,0.676112174987793,0
9ffca37e87db8609aa54ef630a4dd204f02581731d323f5a6ae71855b636e2a2,07dac0b810a2192b26d08a5054bb952b06a38475e509f66c177d5c31f5464f75,5c23656eb3f2a97c0e6d472280d228593f84f4f08cc0ace9dfa91238ac406b32,0.21154166666480403,0.6676225662231445,0
94dce029795f9357501c763b763bf951c8290ad1744ec10872cc8a280b2b989e,2b8cd6196fb98e11b689ae9b26b413179fc0fcdfc77ec24914d4a0c20fb216dc,93a0b91487e3462150219c68a633a777f442b66d08b57a3d8182d0136795e9ab,0.16916666667287547,0.5209736824035645,0
a86bcd9360c8bc9843b59186ba1d8ecf2dd4b5457ed8225e30ca7c47c5555bc2,989d2516e70fc72d548fae97e76747cd08a868de0afac8a92b2e6a71b33e6758,918035a10567635e4347358eaff5abfc96c515e45e9a7a6a24ffa7d6353bc93d,0.05891666666720994,0.5230712890625,0
9a3ef4d24dd4e7fb8baaa9e30aea1395caa50f583630f69047c8e20f2e8d9554,af7623ab312996e60a893c6a3ce7dacb8c3c087e084f635d30de726990d74175,b6e4831928e2600fc9b3e5015ca06b141e677ee1d0d1de741fe7f3b69ece3ae9,0.25099999997764827,0.7984662055969238,0
106875ea53b982360288d78f72719791f7f16b0456b16ec8fe1a14b199884b08,9af2ad6c3f1d192c27ab23e645650ad0caa500491f57dd78f0a8cb53e89b8b93,c90ef5cf8713e8b7c5f5ca695c4c8815f9c11bd99d7d75b1f408c33b1ae1dbab,0.11633333333496315,0.6071743965148926,0
0e337f047a062e592acb1be850542d2ac66829277ec311eed311f21ac96266e3,1e9e772fe0bce43404afcc3ecd3a6e4abf91130515f92bb6b0f56f923a2ef2e6,28c4ba83b583e39a75512b5fa9bbfb1b297c04fcec4f8dcaff6d0af0bcb986fc,0.175,0.7808051109313965,0
94dce029795f9357501c763b763bf951c8290ad1744ec10872cc8a280b2b989e,c640655338cbe365644ce42fc515b4638315ffd80aa8ddbbe0b36bf608143b3c,a15c4e7a9ab1016289f5346d5b109a83116beb5a725889d4e8da9087ab5a7c63,0.1902500000006209,0.5194025039672852,0
14c502a6ca6291b0a3aac54d5506d8d1bf8947b5a875d07739a28aae74109a59,ea1b79f95dcbb2fe0b79ba0cf0802f7deb94b043490bacac24b283a3567abd9a,0804def86bc433c48bd7665358005c0a28f2901d60515c968c6178a33a65f512,0.0848333333308498,0.6473138332366943,0
7a481b9a132c57cae45f19d82be7b758f789203f2c796c6bdd5ceb4428ce9622,ac691d7a33f912946561a11d3729aa10fcbba47dde514903ff4281d55a373568,f3212d770a0b5d41b4ac0d45cca1c838fe34edce83a5e0cb252d5a4d5901a12f,0.15958333333255723,0.8084406852722168,0
b7c72dccdd6db4fb7c2cecfc47215b93c30f927d59baa33785a358853fba2b46,501dd26e279742dce334a1813ec83a698c245bb0dda67825dfe434497c63dc18,c962e6dfccd9eff5d3c9c0b0ec4840e060198c06f907353acb2ff94c196f3333,0.4262499999992239,0.7220301628112793,0
8182d457578bb18d3f24346c45921fbd642cb9bbcc5d1407e476e02a35b5578b,736a78dbfc88ccc018d271f39acd93c98684c8358e087190763d9fadf613a2d1,30269db7ec0a6b53fe619bea855d631412ba9c7c64cc42ee54f63d306585ea85,0.04587500000003881,0.38689374923706055,0
6190227e8489cba622c6675f26dbf94a0407dc21594d0dcd6776c46975b7e225,d4b61601b2bd52f682a33fe0d2019c64eca995f39d43371fdf63d77e46f574f5,135e7f7b06256dbae9c9b1e90cba224a9119c74a854b262289791347b9c204e8,0.2089791666638727,0.7149879932403564,0
558da361022f2c54ce6bb02912687c090acf7454f62fda75744147689918f5ea,c36c5856fc8743f59e0513a9ccb79cd13433ee813df1ed65e174cac9d7302601,70b474c11ea589fa9c6a703c7ef0426e50c16ece3b9e3b3f372d3fe7db3c2dfa,0.2399166666669771,0.7099509239196777,0
3322acdce65a8353e2f8a32a2bf0474526cfc62c3d13289ab64fb6a5e089e2db,d86be522e92380865968c8da3dee8c5a417abc330a529b302be40cbd9b127e17,78f5c3eb8f28e8f96b5ba13239d30d93da14d5d2784179b16275f37f860a9357,0.3023958333302289,0.8974952697753906,0
e9916393b398199ef017f67a1904dd9c30323405c6f77cb7e238078d1b550a23,87347c037f4a9f0d877fadc39e93699ca0c69869b905c640108e01103f9f6edb,d8141a1914a033420a2088ad3072852db5d9c4231b2caf766e1284179385ea0e,0.06102083333341094,0.3991689682006836,0
235f1c2d99c762362019c64ee781c14c9837c472f5df3f38257ecbcc078facca,2caf3578791731479011eb9950e46d70a620d922ff208ba3970387acc91cf694,f9a82c2a6936a13923bae690bfade3b04f339d3addc368515325c0c43a70b561,0.25895833333488555,0.5151057243347168,0
810556b6052783a1466e68c7300cd6ce09f01b1a5677f7855a2931337005a46e,1ea4578c8290ecb4ce27c732a38ae9d4cb56b1d8194aa5ff6aceb2ebde6328a4,42c781bfaf5babe9ae5a18c84aa06eae60e43f702e45afd3cb3c26b1f1692d5a,0.12133333333379899,0.6303539276123047,0
fcffd00090117106d870339a18858304868e8ddd259f66045596983c668e5b0b,ffe591f09956f7f2783b97e074020de2db41c5a753a934734ec0dc3ee18a0099,cf5c36880ff7b760b73e426541b41d8e37d20cfb8a1025c4b17ef4c8bb165930,0.07145833333488553,0.6288318634033203,0
48e8faba4a168f803d7f16abb37ff877edd589b8081166d08e1efbb94ae898d1,48aab19bbfcd75bc6287ab3cc2cdec4afbf0ab804f8e2850cc68008b59c9ca41,5d7bb0ede1b6a47b22d72d93614fa5815aaf792a1650d9d874520c31a9326f3a,0.08639583333279006,0.7554864883422852,0
39708be2b5227aa0c58d924afb072660e37262ac43a8bf2bce6c8bee9648f06d,9b3dfcc9376899b4cad04abb1fc4c75592416effc88c3a2ff031f86b8c7980c9,c6918ff6a0afcdf68d09260a45aaa6ceb7b8da58c7719491810a782afa724302,0.10040625000062088,0.6538927555084229,0
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,b01b0ef76e60706c5cf75413d1354337d2a7e46c4640d2fe4ae1554c0ad1556f,8ebe6ba81fa32cb974c06bc6041db7497ca4188858c4e2ec99e1875941306be2,0.2138333333345751,0.5423312187194824,0
315f624d255fc7680cb985a3e0796397bc18baa89d4226331ebeae5a62de747f,ec7398bbccf9a0ae1569466aea67ca2975064a1701a17aefc5bf8476fc21cb4e,3ae31d55afe7954a88d0823179fd58faee14c2e08e8bda2bf7c9e39f9584016d,0.5447499999931703,0.6881937980651855,0
87f3522e7b259f45398e495f02e0afd54d9bd8f77959c6d5e178647ce4e1d9ce,21fa82a7c6b4ac1c55fcad1263a905ab4f58c9833b89d54ab187205fa42eddf0,03ffc987511ce29fd0a69118ee0b6310aa7797b9f4ff5d41875f8933f92a5f26,0.1494479166654249,0.40989007949829104,0
e36706cf92adeab5577d3766a42ba23993d591bd23a20001e104d91796f04246,168fad85e300afceb17239d8bd15146c5393c38791356880adab3ca22d68cea3,9f2495f063636ab12a0253c7121c525d71cb167283adf3978800523fae021eb5,0.2869583333299185,0.6913003921508789,0
fdfb8ee968d1aafdfe41941f991ae596375dcf18739349968a4fefa325e45198,1b2ec4bbc45aa264f456eca1a3711a717e12943b55d14982fccb9d98497fb5fa,60aa17b6bb8a9fc91ddf241aac5748612541e4fd9a6af4505bc7ce2e2c9b5f61,0.12291666666666666,0.5185246467590332,0
2bac8d59659818c1d960bddb7953c622c0885d689fc8597b8b41821805672333,d82cee177863a1ea679b7760f5599cbd541ae3e7dd78e9d351cc67001af658b3,59d3d6e14fd8defa606f18b24ad38a0f313fd72487b21204fa1251969d4d308c,0.10697916666977107,0.645892858505249,0
d7428366a524e5d20a7877b2e3718258a4e6ad0e212a90b917be281aa84552e4,89b7a57a374a43432ca20b8b1bf995b15bccf301e2d95bf8c9b04ddb4ecdeff2,197cc041a479f367f7767606dc626f7bd41f3ba67542df5036e4ebee4660f338,0.10191666666651145,0.4625248908996582,0
